List0,List1,List2,List3,List4,List5,List6,List7,List8,List9,List10,List11
,7946:car,3389:motorcycle,3233:car,3379:truck,2382:car,3779:car,2754:truck,3212:car,3622:car,10722:car,
,8441:car,3389:car,3287:car,3393:car,2404:car,3839:motorcycle,2772:car,3247:car,3636:large bus,10778:car,
,8355:car,3329:car,3332:car,3421:car,2427:car,3799:car,2792:car,3284:car,3645:large bus,10814:car,
,8571:car,3376:car,3409:car,3461:car,2540:car,3863:car,2811:car,3327:car,3693:car,10905:truck,
,10086:car,3405:car,3401:car,3475:car,2699:car,3896:car,2844:car,3356:car,3719:car,10961:car,
,10069:car,3429:car,3427:car,3491:car,2703:car,3918:car,3162:car,3380:car,3740:car,10989:car,
,10496:car,3444:car,3440:car,3526:car,2873:car,3947:car,3249:car,3413:car,3941:motorcycle,12226:car,
,10780:truck,3462:car,3502:car,3557:car,2700:car,3976:car,3283:car,3432:car,4555:car,12293:car,
,10789:large bus,3483:car,3467:car,3578:car,2961:truck,3993:car,3314:car,3458:car,4895:car,12868:car,
,10789:truck,3523:car,3488:car,3595:car,2934:car,4011:car,3330:car,3476:car,4906:car,12907:car,
,10734:large bus,3562:car,3538:car,3617:car,2956:car,4044:car,3354:car,3501:car,4917:car,12939:car,
,10759:large bus,3576:car,3581:car,3628:car,2974:car,4071:car,3383:car,3543:car,5124:car,12968:car,
,10869:car,3594:car,3607:car,3689:truck,2993:car,4097:car,3417:car,3568:car,5170:car,13012:car,
,10854:car,3618:car,3621:car,3694:car,2994:car,4118:car,3441:car,3612:car,5236:car,13034:car,
,10891:car,3777:car,3647:truck,3677:car,3016:car,4147:car,3459:car,3625:car,5373:truck,13133:car,
,10924:car,5228:car,3659:car,3684:car,3025:car,4177:car,3496:car,3635:car,5421:truck,13573:truck,
,11038:car,5265:car,3724:car,5361:car,3032:car,4203:car,3522:car,3653:car,5477:truck,13573:large bus,
,11779:car,5275:car,3813:car,5713:truck,3054:car,4217:car,3536:car,3674:car,5565:truck,13802:car,
,12142:car,5741:car,3853:car,5685:car,3166:car,4542:car,3561:car,3695:car,5586:truck,15865:pedestrian,
,12122:car,5511:car,3897:car,5347:car,3784:car,4568:car,3582:truck,3716:car,5615:truck,15885:pedestrian,
,12461:car,5742:large bus,4191:car,5355:car,3790:car,4581:car,3616:car,5342:car,5629:truck,16000:pedestrian,
,12674:car,5742:truck,4211:car,5362:car,3798:car,4605:car,3655:car,5345:car,5647:truck,16037:pedestrian,
,12683:large bus,5797:car,4243:car,5666:car,3801:car,4637:car,3703:car,5813:car,5714:car,16070:pedestrian,
,12683:truck,5830:car,4271:car,5784:car,3804:car,4654:car,3727:car,5852:car,5820:car,16200:pedestrian,
,12822:car,5810:car,4303:car,5865:car,3889:car,4671:car,5341:car,5887:car,5854:car,16609:pedestrian,
,12952:car,5970:car,4319:car,5939:car,3961:car,4687:car,5698:motorcycle,5931:car,5956:car,16641:pedestrian,
,13043:car,6019:car,4349:car,5995:car,3968:car,4696:car,5696:car,5981:car,5987:car,16694:car,
,13240:car,6144:car,4390:car,6001:car,3957:car,4709:car,5759:car,6015:car,6011:car,16732:car,
,13458:car,6228:car,5356:car,6012:car,4027:car,5340:car,5808:car,6039:car,6034:car,16852:car,
,13603:car,6283:car,5677:car,6094:car,4053:car,6207:car,5864:car,6065:car,6082:car,16934:car,
,13461:car,6272:car,5350:car,6237:car,4063:car,6227:car,5898:car,6119:car,6156:car,16983:car,
,13564:car,6304:car,5364:car,6230:car,4090:car,6877:car,5958:car,6148:car,6182:car,17019:car,
,13586:car,6363:car,5349:car,6271:car,4113:car,6925:truck,6004:car,6171:car,6256:car,17077:car,
,13723:car,6386:car,5717:car,6294:car,4101:car,6972:car,6041:car,6213:car,6307:car,17134:car,
,13872:car,6487:car,5365:car,6342:car,4156:car,7016:car,6105:car,6232:car,6347:car,17774:car,
,14556:car,6448:car,5974:car,6379:car,4547:car,7074:car,6131:car,6268:car,6416:truck,17956:car,
,15952:car,6530:car,5959:car,6412:car,4548:car,7096:car,6146:motorcycle,6318:car,6449:car,18020:car,
,15990:car,6533:car,5971:car,6446:car,4572:car,7114:car,6150:truck,6339:car,6484:car,18878:car,
,16005:car,6667:car,5992:car,6494:car,4580:car,7147:car,6178:car,6380:car,6510:car,18910:car,
,16091:car,6703:car,6093:truck,6535:car,4595:car,7168:car,6201:car,6403:car,6566:car,18945:car,
,16179:car,6851:car,6084:car,6569:car,4657:car,6970:car,6262:car,6434:car,6619:car,18980:car,
,16191:car,6873:car,6111:car,6618:car,5343:car,7291:car,6296:motorcycle,6463:car,6671:car,19011:car,
,16225:car,7021:car,6128:car,6657:car,6217:car,7792:car,6305:car,6490:car,6727:car,19046:car,
,16268:car,7029:car,6224:car,6725:car,6203:car,8038:car,6368:car,6519:car,6767:car,19178:car,
,16388:car,7053:car,6223:car,6732:car,6225:car,8073:motorcycle,6385:car,6556:car,7098:car,19282:car,
,16431:car,7646:car,6241:car,6749:car,6853:car,8090:car,6417:car,6596:car,7127:car,19309:car,
,16489:car,7835:car,6298:car,6769:car,6866:car,8097:car,6438:car,6634:car,7849:car,20374:car,
,16532:car,7907:truck,6329:car,6987:car,6977:car,8106:car,6477:motorcycle,6646:car,7888:car,20455:car,
,16583:car,7911:car,6369:car,7249:car,6979:car,8147:car,6473:car,6672:car,7938:car,20501:car,
,16651:car,7999:car,6391:car,7788:car,6996:car,8161:car,6512:truck,6692:car,7968:car,21773:car,
,15802:car,8344:car,6443:car,7794:car,7006:car,8177:motorcycle,6545:car,6718:truck,7987:car,21799:car,
,16654:car,8348:car,6453:car,7812:car,7030:truck,8182:car,6587:car,6748:car,8400:car,21881:car,
,16819:car,8428:car,6483:truck,7808:car,7039:car,8200:car,6609:car,6783:car,8548:car,21905:car,
,16917:car,8484:car,6485:car,7809:car,7097:car,8217:car,6644:car,6971:car,8637:car,21975:car,
,16950:car,8518:car,6508:car,7838:car,7116:car,8244:car,6678:car,7816:car,8667:car,22172:car,
,17014:car,9145:car,6575:car,7859:car,7149:car,8262:car,6708:car,7887:car,8811:car,22215:car,
,17102:car,10085:car,6717:car,7914:car,7200:car,8278:car,6741:car,7903:car,10620:car,22289:car,
,17156:car,10609:car,6781:car,7945:car,7211:car,8330:car,6747:truck,7923:car,10684:car,23192:car,
,17404:car,10712:car,6828:car,8335:car,7493:car,8735:car,6773:car,7960:car,10727:car,23259:car,
,17470:car,10698:car,6833:car,8346:car,7798:car,8813:car,6978:car,7998:car,10764:car,23308:car,
,18238:car,10755:car,6839:car,8340:car,8045:truck,8844:car,7834:car,8378:car,10849:truck,23385:car,
,18294:car,10739:car,6929:car,8377:car,8028:car,8858:car,7868:motorcycle,8453:car,10886:car,23448:truck,
,18815:car,10868:car,6941:car,8364:car,7820:car,8880:car,7898:car,8487:car,10930:car,23570:car,
,18858:car,10879:car,7002:car,8500:car,7823:car,8911:car,7936:motorcycle,8531:car,10952:car,25165:truck,
,18856:large bus,10915:car,7020:car,8577:car,8059:car,8937:car,7974:car,8560:car,11003:car,25208:truck,
,18873:car,10969:car,7080:car,9007:car,8084:car,8962:car,8331:car,8584:car,11071:car,25256:car,
,18887:car,10993:car,7100:car,9139:car,8145:car,8997:motorcycle,8432:car,8636:car,11134:car,29885:car,
,19034:car,12067:car,7134:car,10468:car,8152:car,8995:car,8489:truck,10056:car,11217:car,29917:car,
,19004:truck,12096:large bus,7169:car,10608:car,8140:car,9076:car,8529:car,10659:car,11338:car,29952:car,
,19099:large bus,12084:car,7224:car,10073:car,8153:car,9148:car,8552:car,10723:car,11346:car,29982:car,
,19099:truck,12088:car,7358:car,10628:car,8207:car,11066:car,8601:car,10751:car,11430:car,30057:car,
,19004:large bus,12137:car,7458:car,10639:car,8167:car,11107:motorcycle,10064:car,10786:car,11481:car,30497:car,
,19085:large bus,12165:car,7547:car,10631:car,8220:car,11106:car,10063:car,10821:car,11509:car,30532:car,
,19132:car,12213:car,7742:car,10758:car,8243:car,11150:car,10656:car,10870:car,11790:car,30704:car,
,19118:car,12580:car,7777:car,10801:car,8229:car,11283:truck,10699:car,10894:car,11893:car,30781:car,
,19185:car,12590:car,7793:car,10823:truck,8504:truck,11283:car,10754:car,10919:car,11907:car,30869:car,
,19272:car,12604:car,7806:car,10914:truck,8564:truck,12053:car,10809:car,10941:car,11935:car,31120:car,
,19294:car,12625:car,7830:car,10884:car,8602:truck,12282:car,10832:car,10962:car,11941:car,31629:car,
,19360:car,12862:car,7857:car,10909:car,8631:truck,12307:car,10862:car,12085:car,12001:car,31836:car,
,19371:car,12778:car,7867:car,10923:car,8665:truck,12322:truck,10899:car,12132:car,12052:car,31893:car,
,19453:car,12703:car,7916:car,10944:car,8680:truck,12387:car,10925:car,12159:car,12093:car,31926:car,
,19456:car,12689:car,7947:car,11075:car,8715:car,12408:car,10951:car,12192:motorcycle,12128:car,32862:car,
,19458:car,13022:car,7975:car,11095:car,8758:car,12431:car,10985:car,12224:car,12195:car,32900:car,
,19607:car,12926:car,8371:car,11138:car,8586:car,12457:car,12041:car,12669:car,12294:motorcycle,,
,21338:car,13099:car,8366:car,11156:car,8565:car,12475:car,12087:car,12858:car,12309:motorcycle,,
,21356:car,13139:car,8390:car,11220:car,8411:car,12495:car,12102:car,12891:truck,12673:car,,
,21787:car,13155:car,8353:car,11240:car,8804:car,12532:car,12121:car,12945:car,12900:car,,
,21349:car,13143:car,8337:car,11251:car,8817:car,13300:truck,12151:car,12988:car,12932:car,,
,21843:large bus,13252:car,8478:car,11289:car,8851:car,13309:truck,12177:car,13019:car,12994:car,,
,21883:car,13248:car,9141:car,12045:car,8859:car,13345:car,12210:car,13035:car,13032:car,,
,21912:car,13274:car,10060:car,12071:car,8947:car,13359:car,12262:truck,13063:car,13055:car,,
,22202:motorcycle,13387:car,10502:car,12185:car,8964:car,13380:truck,12664:car,13094:car,13096:car,,
,22222:car,13453:car,10061:car,12227:car,9004:car,13402:truck,12675:car,13112:car,13135:car,,
,22680:car,13455:car,10697:car,12670:car,8994:car,13412:car,12905:car,13134:car,13296:car,,
,22675:large bus,13479:car,10571:car,12687:car,9045:car,13892:car,12944:car,13159:car,13392:car,,
,23185:car,13446:car,10826:car,12839:car,9082:car,13917:car,12974:car,13186:car,13472:truck,,
,23231:large bus,13452:car,10760:car,12691:car,9137:car,13964:car,13005:car,13211:car,13513:car,,
,23344:car,13615:car,10817:car,12909:car,10066:car,13983:car,13037:car,13242:car,13538:car,,
,23380:car,13660:car,10874:car,12993:car,11023:car,14024:car,13059:car,13262:car,13590:car,,
,23544:car,13752:car,10851:car,12901:car,11025:car,14940:car,13088:car,13297:car,13627:car,,
,23706:car,13729:car,10920:truck,12880:car,11024:car,14992:car,13111:car,13321:truck,13651:car,,
,24063:car,13745:car,10933:car,13000:car,11020:car,16791:car,13136:car,13478:car,13696:car,,
,24089:car,13766:car,11031:car,13021:car,11142:truck,16792:car,13177:car,13506:car,13749:car,,
,25168:large bus,13807:car,12079:car,13092:car,11112:car,17204:car,13222:car,13531:car,13765:car,,
,25178:truck,14054:car,12092:car,13150:car,11145:car,17216:car,13270:car,13548:car,13881:car,,
,26622:car,14116:car,12110:car,13127:car,11114:car,17237:car,13301:car,13572:car,15794:car,,
,28341:car,15798:car,12123:car,13147:car,11141:car,17258:car,13316:car,13602:car,16724:car,,
,29196:car,16696:car,12167:car,13192:car,12064:car,17281:car,13335:car,13638:car,16767:car,,
,29206:car,16516:car,12168:car,13223:car,12143:car,17302:motorcycle,13361:car,13670:car,16843:car,,
,29197:car,15871:car,12879:truck,13265:car,12292:car,17319:car,13378:car,13685:car,16954:truck,,
,30452:car,16835:car,12686:car,13312:car,12060:car,17343:car,13385:car,13716:car,17020:car,,
,30084:car,16824:car,12682:car,13327:car,12287:car,17371:car,13416:car,13735:car,17517:car,,
,30965:car,16868:car,12700:car,13438:car,12371:car,17422:car,13518:car,13748:car,18205:car,,
,31132:car,16964:car,12992:car,13530:car,12163:car,17466:car,13554:car,13762:car,18389:car,,
,31126:car,17071:car,12864:car,13475:car,12429:truck,17492:car,13584:car,13775:truck,18405:car,,
,31845:car,17197:car,12927:car,13595:car,12393:car,17511:car,13633:truck,13813:car,18419:car,,
,31921:car,18139:car,13015:car,13622:car,12389:car,17540:car,13657:car,13825:car,18454:car,,
,31964:car,18173:truck,13007:car,13656:car,12421:car,17552:car,13679:car,13842:car,18460:car,,
,32022:car,18738:car,13024:car,13668:car,12445:car,17568:truck,13702:car,15781:car,18499:car,,
,32101:car,18733:car,13117:car,13699:car,12448:car,17568:car,13731:car,15809:car,18535:car,,
,32691:car,18757:car,13126:car,13756:car,12474:car,17598:car,13743:car,16717:car,18565:car,,
,32044:car,18756:car,13153:car,13751:car,12432:car,17616:car,13768:car,16758:car,18577:car,,
,,18831:car,13173:car,13767:car,12516:car,17631:car,13776:car,16787:car,18591:car,,
,,18901:car,13216:car,13780:car,12521:car,17650:truck,13792:car,16856:car,18739:car,,
,,18775:car,13232:car,13805:car,12528:car,17661:car,13806:car,16887:car,18848:car,,
,,18877:car,13324:car,14056:car,12558:car,17675:car,13817:car,16922:car,18867:car,,
,,19008:car,13456:car,14948:car,12638:car,17696:car,14038:truck,16969:car,18888:car,,
,,19041:car,13430:car,15786:car,12680:car,17713:car,14233:truck,17003:car,18961:car,,
,,19128:large bus,13445:car,15790:car,13694:car,17734:car,15791:car,17104:car,19013:car,,
,,19068:car,13462:car,15792:car,13533:car,17767:car,16671:car,18150:car,19051:large bus,,
,,19143:car,13493:car,15807:truck,13516:car,17785:car,16842:car,18172:car,19108:car,,
,,19179:car,13610:car,16826:car,13722:car,18155:truck,16863:car,18730:car,19140:car,,
,,19201:car,13571:truck,16886:car,13955:truck,18161:car,16878:car,18857:truck,19159:car,,
,,19229:car,13492:car,16906:car,13952:car,18245:car,16915:car,18864:car,19240:car,,
,,19255:car,13575:car,16979:car,13886:car,18276:car,16933:car,18897:car,19263:car,,
,,19301:car,13750:car,16979:truck,13946:car,18303:car,16973:motorcycle,18943:car,19328:car,,
,,19317:car,13770:car,16961:car,13962:car,18325:car,16987:car,18962:car,19445:car,,
,,19326:car,13808:truck,16985:car,14159:car,18344:car,17033:car,18998:car,20355:car,,
,,19448:car,13803:car,17023:truck,14210:car,18364:car,17063:car,19035:car,20415:car,,
,,20311:truck,13827:car,17048:car,14244:car,18387:car,17094:car,19077:car,20524:truck,,
,,19481:car,14039:car,17075:car,14282:car,18415:motorcycle,17144:car,19133:car,21695:car,,
,,21587:car,14944:car,18137:car,14292:car,18462:car,17514:car,19151:car,21778:large bus,,
,,21346:car,16499:car,18130:car,14331:car,18504:car,18123:car,19180:car,21823:truck,,
,,21340:car,16648:car,18201:car,14384:car,18552:car,18170:car,19208:car,21872:car,,
,,21341:car,16704:car,18729:car,14391:car,18731:car,18732:car,19249:car,21907:car,,
,,21527:car,15793:car,18751:car,14400:car,20553:car,18802:car,19279:car,21946:car,,
,,21806:car,16825:car,18752:car,14407:car,20602:car,18868:car,19318:car,21973:car,,
,,21854:car,16809:car,18743:car,14438:car,20629:car,18908:truck,19444:car,22050:car,,
,,21861:car,16881:car,18747:car,14460:car,20640:car,18928:car,20328:car,22074:car,,
,,21884:car,16892:car,18755:car,14480:car,20655:car,18992:large bus,20354:car,22135:car,,
,,21928:car,16997:truck,18935:car,14557:truck,22097:car,19020:car,20410:car,22151:car,,
,,21961:car,16958:car,18919:car,14697:car,22124:car,19042:car,20462:car,22181:car,,
,,22033:car,16981:car,19009:car,14923:car,22285:car,19057:car,20507:car,22203:car,,
,,22139:car,17045:car,19015:car,14941:car,22318:motorcycle,19086:truck,20554:car,22225:car,,
,,22212:car,17067:car,19058:truck,14965:car,22314:car,19113:car,20677:car,22231:car,,
,,22524:car,17152:car,19081:car,16795:car,22346:car,19124:car,21328:car,22297:truck,,
,,23123:car,18166:car,19103:car,16798:car,22373:car,19147:car,21697:car,22308:truck,,
,,23131:car,18202:car,19158:car,16821:car,22392:car,19177:motorcycle,21744:car,23148:car,,
,,22651:car,18736:car,19187:car,16823:car,22412:car,19189:car,21768:car,23187:car,,
,,23201:car,18741:car,19186:car,16814:car,22431:car,19205:car,21817:car,23246:car,,
,,23198:car,18833:car,19209:car,17177:car,22450:car,19234:car,21855:large bus,23291:car,,
,,23277:car,18753:car,19287:car,17190:car,22488:car,19273:car,21855:truck,23350:car,,
,,23313:car,18891:truck,19258:car,17225:car,22547:car,19292:car,21870:car,23378:car,,
,,23311:car,18892:car,19286:car,17316:car,22568:car,19323:car,21892:car,23434:truck,,
,,23307:large bus,18859:car,19303:car,17265:car,22646:car,19402:car,21922:car,23444:large bus,,
,,23307:truck,18931:car,19327:car,17294:car,22653:car,19442:car,21950:car,23545:car,,
,,23387:truck,18941:car,19450:car,17313:car,23540:car,20313:car,21981:car,23586:car,,
,,23328:car,19039:car,20261:car,17314:car,23531:car,20363:car,21994:car,23610:car,,
,,23446:car,19110:car,19447:car,17354:car,23690:car,20429:car,22006:car,24173:truck,,
,,23428:car,19072:car,20314:car,17392:car,23691:car,20487:car,22027:car,24332:truck,,
,,23551:car,19091:car,21358:car,17472:car,23710:car,21329:car,22059:car,24360:truck,,
,,23569:car,19101:car,21333:car,17475:car,23732:car,21687:car,22071:car,24398:truck,,
,,24190:car,19156:car,21683:car,17541:car,23744:car,21721:car,22120:truck,24418:truck,,
,,24206:car,19163:car,21343:car,17553:car,23755:car,21779:car,22146:car,24496:truck,,
,,24211:car,19206:car,21345:car,17482:car,23770:car,21840:car,22227:car,24539:truck,,
,,24251:car,19217:car,21753:car,17556:car,23811:car,21878:car,22645:car,24596:truck,,
,,24307:car,19231:car,21792:car,17563:car,23842:truck,21901:car,22649:car,24722:truck,,
,,24394:car,19316:car,21821:car,17582:car,23842:car,21921:car,23172:car,24784:truck,,
,,24434:car,19305:car,21860:car,17584:car,23857:motorcycle,21937:car,23203:car,24818:truck,,
,,24470:car,19384:car,21893:car,17594:car,23862:car,21974:motorcycle,23268:truck,24839:truck,,
,,24506:car,19569:car,21919:car,17641:car,24195:car,21969:car,23304:car,24897:truck,,
,,24545:car,19943:car,21948:car,17642:car,24212:car,21991:car,23333:car,24909:truck,,
,,24641:car,19461:car,21956:car,17651:car,25078:car,22004:car,23350:car,24938:truck,,
,,24645:car,19847:car,21972:car,17677:car,25618:car,22025:car,23386:truck,24952:truck,,
,,25058:car,20378:truck,21990:car,17724:car,25661:car,22060:car,23409:car,25129:car,,
,,25160:car,20438:car,22021:car,17766:car,25682:car,22072:car,23447:car,25159:car,,
,,25191:car,20498:truck,22019:car,17810:car,25704:car,22143:car,23486:car,25184:car,,
,,25236:car,21611:truck,22104:car,17949:car,25719:car,22158:car,23572:truck,25223:car,,
,,25304:large bus,21336:car,22129:car,18142:car,25735:car,22175:car,23587:car,25267:car,,
,,25327:car,21335:car,22153:car,18149:car,25752:car,22196:car,25086:car,25301:car,,
,,25335:car,21751:car,22170:car,18138:car,27528:car,22221:car,25162:car,25333:car,,
,,25357:car,21868:truck,22204:car,18140:car,27562:car,22238:car,25199:car,25370:car,,
,,25407:car,21833:car,22250:car,18144:car,27586:car,22654:car,25220:car,25494:car,,
,,25427:car,21876:car,22317:car,18262:car,27614:car,22644:car,25259:car,25522:car,,
,,25476:car,21898:car,22368:car,18264:car,27637:car,23167:car,25293:car,25534:car,,
,,25516:car,21920:car,22435:car,18319:car,27690:car,23217:car,25332:car,25546:car,,
,,25723:car,21939:car,22451:car,18223:car,28333:car,23273:car,25381:car,25579:car,,
,,25779:car,21970:car,22551:car,18335:car,28374:car,23312:car,25394:car,28339:car,,
,,26659:car,22005:car,22587:car,18337:car,29214:car,23361:truck,25447:car,29201:car,,
,,26710:car,22039:car,22661:car,18373:car,31114:car,23394:car,25464:car,29892:car,,
,,26819:car,22102:car,22670:car,18382:car,,23431:car,25513:car,29942:car,,
,,26865:car,22105:car,23153:car,18416:car,,23470:car,25532:car,29981:car,,
,,26890:car,22142:car,22674:car,18487:truck,,23509:car,26618:car,30098:car,,
,,26964:car,22159:car,22658:car,18502:car,,23578:car,28332:car,30166:car,,
,,27091:car,22184:car,22681:car,18489:car,,23590:car,29187:car,30206:car,,
,,27097:car,22201:car,23227:car,18518:car,,25075:truck,29914:car,30292:car,,
,,27356:car,22214:car,23284:car,18538:car,,25142:car,29958:car,30312:car,,
,,27388:car,22230:car,23323:car,18728:car,,25172:car,29985:car,30411:car,,
,,27405:car,22683:car,23371:car,19449:car,,25200:car,30019:truck,30427:car,,
,,27412:car,22951:car,23406:car,20556:car,,25242:car,30045:car,30436:car,,
,,27469:car,22994:car,23437:car,20571:car,,25265:motorcycle,30045:truck,30451:car,,
,,27688:car,22660:car,23454:car,20557:car,,25288:car,30067:car,30499:truck,,
,,29192:car,22976:car,23529:car,20578:car,,25317:car,30073:car,30569:car,,
,,29212:car,22650:car,23613:car,20587:car,,25345:car,30514:car,30609:car,,
,,29989:car,22721:car,24175:car,20595:car,,25376:car,30546:car,30660:car,,
,,29211:car,23190:car,24265:car,20631:car,,25398:car,30617:car,30795:car,,
,,30450:car,23260:car,24334:car,20637:car,,25433:car,30666:car,30844:car,,
,,30394:car,23296:car,24388:car,20662:car,,25462:car,30784:car,30873:car,,
,,30695:car,23330:truck,24691:car,20678:car,,25471:car,30840:car,30927:car,,
,,30985:car,23391:car,25093:car,20692:car,,25512:car,30865:car,31847:car,,
,,30924:car,23436:car,25153:car,21330:car,,25547:car,30893:car,31869:car,,
,,31779:car,23440:car,25099:car,22119:car,,28330:car,30928:car,31914:car,,
,,31140:car,23543:car,25185:car,22112:car,,29188:car,30959:car,31939:car,,
,,31798:car,23601:car,25161:car,22117:car,,29961:car,31019:truck,31973:car,,
,,31122:car,23739:car,25190:car,22113:car,,30006:car,31047:car,32030:car,,
,,31142:car,23746:car,25209:car,22263:car,,30039:car,31078:car,32077:car,,
,,31972:truck,23777:car,25246:car,22279:car,,30070:car,31110:car,32259:car,,
